CitationKey,Study,Modality,Geographic_Region,Year,Location,Population,Study method,Sample size (N),QA,Len_n,Len_M,Len_SD,Len_SE,Wid_n,Wid_M,Wid_SD,Wid_SE,Thick_n,Thick_M,Thick_SD,Thick_SE,Vol_n,Vol_M,Vol_SD,Vol_SE,VolSex_Male N,VolSex_Male M,VolSex_Male SD,VolSex_Male SE,VolSex_Female N,VolSex_Female M,VolSex_Female SD,VolSex_Female SE,ArtDiam_n,ArtDiam_M,ArtDiam_SD,ArtDiam_SE,Branches_N,Branches_1,Branches_2,Branches_3,Branches_4,Branches_5,Branches_6,Branches_Other
singh_2011,"Singh, A. et al. (2011)",Ultrasound,Asia,2011,"Bihari population, India","People aged 20 to 60 years. ♂ – 80, ♀ – 80",Ultrasound,160,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sow_1991,"Sow, M.L. et al. (1991)",Corrosion Casting,Africa,1991,"Dakar, Senegal",Africans of various ages and both sexes,Corrosion casting,100,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,84,16,,,,
studer_2015,"Studer, A.S. et al. (2015)",CT,Europe,2015,"Marseille, France",Nonobese patients over 16 years of age,Retrospective study based on CT data,90,LOW,22,11.17,1.74,0.370969246,22,9.85,1.56,0.332593118,,,,,22,224.9,91.5,19.50786555,45,244.4,98,14.60897745,45,205.4,80.9,12.05985996,,,,,,,,,,,,
sundar_2020,"Sundar, G. et al. (2020)",Cadaveric,Asia,2020,"Vellore, India",,Cadaver study,60,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swamy_2013,Swamy V.L. et al. (2013),Cadaveric,Asia,2013,"Anhara Pradesh, India",,Cadaver study,60,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,40,10,10,,,10
sylvester_1995,"Sylvester, P.A. et al. (1995)",Cadaveric,Europe,1995,"Cambridge, UK",,"Cadaver study, angiography",73,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torres_2015,"Torres, K. et al. (2015)",CT,Europe,2015,"Lublin, Poland","♂ – 740, ♀ – 829. People aged 16 to 96, average age 58",CT,1569,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treutner_1993,"Treutner, K.H. et al. (1993)",Mixed / Multiple,Europe,1993,"Aachen, Germany","♂ – 16, ♀ – 16",Angiography and corrosion casting,32,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,30,2,,,,
turkyılmaz_2023,"Türkyılmaz, Z. et al (2023)",CT,Europe,2023,"Edrine, Türkiye","♂ – 567, ♀ – 374, Average age – 61.07±13.79",Contrast-enhanced abdominal CT,941,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wada_2020,"Wada, Y. et al. (2020)",CT,Asia,2020,"Tokyo, Japan",Men aged from 19 to 86 years.,3D CT,30,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xu_2009,"Xu, W.L. et al. (2009a)",Ultrasound,Asia,2009,"Shijiazhuang, China",,Color Dopplerography,48,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xu_2009,"Xu, W.-L. et al. (2009b)",Ultrasound,Asia,2009,"Hebei, China","People aged 1.5 to 25 years, average age 9.21 ± 4.06 years. ♂ – 21, ♀ – 15",Color Dopplerography,36,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yetter_2003,"Yetter, E.M. et al. (2003)",CT,North America,2003,"Kansas City, USA","♂ – 66, ♀ – 51",CT,142,MEDIUM,,,,,,,,,,,,,142,512.6,349.1,29.29582122,,,,,,,,,,,,,,,,,,,,
zheng_2015,"Zheng, C.H. et al. (2015)",Laparoscopy,Asia,2015,"Fujian, China",Patients who have undergone total gastrectomy,Laparoscopy,317,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,22,250,43,2,,,24
zhu_2018,"Zhu, C. et al. (2018)",CT,Asia,2018,"Seoul, South Korea",,3D CT,169,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
